Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,008454208;-0,051057887;-0,230119511;-0,837511316;0,870050057
0,018475208;-0,413671943;0,065084773;-1,047159725;1,127787211
0,028495208;-0,316227217;0,152462055;-1,035883369;1,093754399
0,038516208;-0,495507234;0,106999369;-1,038994673;1,15606497
0,048537208;-0,570114343;0,140430824;-0,870953296;1,050386036
0,058557208;-0,602372994;0,172465965;-0,697972192;0,937956776
0,068578208;-0,569781491;0,166581911;-0,418843659;0,726519436
0,078598208;-0,459024847;0,141832986;-0,153663073;0,50441327
0,088619208;-0,090804482;0,149694568;-0,069864872;0,188507342
0,098639208;0,093959932;0,148195342;0,009529207;0,175730287
0,108660208;-0,084455283;0,171426622;0,161182008;0,249998842
0,118680208;-0,326406634;0,197308445;0,274290547;0,469794868
0,128701208;-0,432665161;0,232727077;0,137862727;0,510261859
0,138721208;-0,490436236;0,2945301;-0,031894222;0,572968518
0,148742208;-0,573022164;0,311263661;-0,146552859;0,668369065
0,158763208;-0,610992374;0,300186111;-0,173527234;0,702520522
0,168783208;-0,512487402;0,272481126;-0,047945999;0,582398592
0,178804208;-0,429640104;0,123925304;-0,02135754;0,447665326
0,188824208;-0,496591015;0,080043412;-0,180550325;0,534423057
0,198845208;-0,524151866;0,153175415;-0,318572681;0,632207592
0,208865208;-0,413138969;0,220992592;-0,372039621;0,598276702
0,218886208;-0,293397275;0,198755046;-0,267851593;0,444218421
0,228906208;-0,226752246;0,153845799;-0,065543779;0,281746513
0,238927208;-0,204376486;0,164861953;0,122379885;0,289699927
0,248948208;-0,154412394;0,181080083;0,254837446;0,348676508
0,258968208;-0,141573882;0,114308096;0,277987157;0,332244435
0,268989208;-0,156409803;0,008070912;0,297668885;0,336356851
0,279009208;-0,140402465;-0,080227892;0,327421857;0,365177271
0,289030208;-0,080419169;-0,181499328;0,341955112;0,395401754
0,299050208;-0,095554613;-0,229426031;0,263237556;0,362023478
0,309071208;-0,230330668;-0,153173369;0,206331283;0,345089693
0,319091208;-0,313152239;-0,033480572;0,242316803;0,397369735
0,329112208;-0,192537227;-0,013058879;0,2290407;0,299500851
0,339133208;0,082599943;-0,090305276;0,15587566;0,198179249
0,349153208;0,15170548;-0,072856307;0,139227467;0,218419051
0,359174208;0,072494227;0,047773214;0,085233693;0,121665424
0,369194208;0,019697342;0,117710298;0,002870983;0,119381498
0,379215208;-0,072840899;0,085416711;-0,135513901;0,175971101
0,389235208;-0,113020804;0,065169265;-0,217638629;0,253746543
0,399256208;-0,250548988;0,08158006;-0,34351164;0,432932268
0,409276208;-0,217656372;0,168972546;-0,533424527;0,60038966
0,419297208;-0,05614396;0,294903152;-0,606591906;0,676811461
0,429317208;0,180009275;0,375365225;-0,634906463;0,759215785
0,439338208;0,294677267;0,361439204;-0,552458383;0,722968364
0,449359208;0,238195174;0,27087285;-0,454568392;0,580294291
0,459379208;0,153033876;0,170660637;-0,351950342;0,420016028
0,469400208;0,104985588;0,188018389;-0,243028409;0,324708632
0,479420208;0,010396934;0,127568996;0,170119477;0,212891008
0,489441208;0,018709372;0,092547098;0,496633846;0,505529607
0,499461208;0,141411293;0,05620139;0,77451166;0,789318733
0,509482208;0,205156724;-0,151653385;0,948474512;0,98218732
0,519502208;0,163601988;-0,671780759;1,254355227;1,43229258
0,529523208;0,068884184;-1,095491932;1,205001218;1,629992497
0,539544208;0,258920812;-0,703032665;0,8542823;1,136262805
0,549564208;-0,002367136;-0,72354002;0,935284948;1,182486235
0,559585208;0,075386178;-0,522048769;0,631919121;0,823128039
0,569605208;0,10838165;-0,270781049;0,353280584;0,458122395
0,579626208;0,10168827;-0,233917862;0,167975303;0,305407552
0,589646208;0,044070684;-0,181177439;-0,211568635;0,282008469
0,599667208;-0,110024718;-0,030102928;-0,77960517;0,787905988
0,609687208;-0,186224463;0,19083587;-1,017950544;1,0522933
0,619708208;-0,238958308;0,307791877;-0,991522298;1,065341908
0,629729208;-0,100694828;0,240772261;-0,857482481;0,896318546
0,639749208;0,131267214;-0,167538516;-0,663744346;0,697034284
0,649770208;0,08334877;-0,40767343;-0,708841581;0,82194953
0,659790208;-0,223542928;-0,282324037;-0,981313645;1,045301283
0,669811208;-0,942373673;0,259863127;-0,862505239;1,303653433
0,679831208;-0,311732864;-0,180353858;-0,486779534;0,605523911
0,689852208;-0,073329493;-0,237991617;-0,574994722;0,626606858
0,699872208;0,102483893;-0,286840719;-0,376926139;0,484617231
0,709893208;0,515574586;-0,420240266;-0,188280344;0,69128035
0,719913208;0,691722103;-0,61487858;-0,134512857;0,935226628
0,729934208;0,778130648;-0,658357598;0,01869004;1,01944659
0,739955208;0,751543797;-0,789158058;0,387420137;1,156582415
0,749975208;0,320791553;-1,14522484;1,214618134;1,699924812
0,759996208;0,529603993;-0,923282953;1,455954943;1,803534474
0,770016208;0,57691619;-0,787497742;1,626973722;1,8973741
0,780037208;0,644379099;-0,686312844;1,498991035;1,770091485
0,790057208;0,509791543;-0,533166372;1,173480633;1,386077413
0,800078208;0,293964564;-0,189586612;0,799419045;0,872599025
0,810098208;0,163520382;-0,005654842;0,469372373;0,497072748
0,820119208;0,06835439;0,131083758;0,316445464;0,349274971
0,830140208;-0,027790354;0,18943897;0,203885978;0,279694331
0,840160208;-0,186186566;0,164599998;0,058390296;0,255280283
0,850181208;-0,474909393;0,24092575;-0,107317457;0,543232166
0,860201208;-0,363305123;0,015327306;-0,068163332;0,369961861
0,870222208;-0,175401998;-0,299263421;-0,138545682;0,373522907
0,880242208;-0,334115238;-0,35381765;-0,377368189;0,615813829
0,890263208;-0,469933486;-0,230315393;-0,632592135;0,821008813
0,900283208;-0,518927598;-0,020571674;-0,809554608;0,9618148
0,910304208;-0,467309767;0,112046978;-0,869347651;0,993326876
0,92032375;-0,346627695;0,052362109;-0,858265423;0,927098747
0,93034475;-0,192597197;-0,006162088;-0,813771036;0,836274447
0,94036575;-0,047038292;0,031167706;-0,751192964;0,753309297
0,95038575;0,084229141;0,013305047;-0,604543626;0,610528106
0,96040675;0,166351897;-0,063248162;-0,401916554;0,439556822
0,97042675;0,157109203;-0,135130908;-0,141684467;0,251034165
0,98044775;0,020535129;-0,098654807;0,010233212;0,101287616
0,99046775;-0,134245347;0,080614393;-0,023757822;0,15838222
1,00048875;-0,224121437;0,305194836;-0,0862055;0,388337089
1,01050875;-0,247352352;0,4190296;0,080081711;0,493134943
